affiliate_name,campaign_code,user_name,wagered,rank,start_date_utc,end_date_utc
pennygambl3r,penny,B3o,63842.74496411661,1,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,PrincessWin,22201.87398190254,2,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,AppleEater,17867.954955621964,3,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,NachoWinz,4879.594161761686,4,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Sicked12,3719.433980842246,5,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Moon0524,2676.9107340391306,6,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Soreloser66,1944.006615586505,7,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,PennyGambl,1727.285627521222,8,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,milkshake60,1661.339965353862,9,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Penisgambl3r1,832.8317596519237,10,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Zigma2012,659.6834287187198,11,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,MumbaiKingMatt,562.0929896994203,12,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,animalkoks,555.3735641925446,13,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Sonusonu7668,406.5955254894295,14,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,lopld123,318.9770600283511,15,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Chengcheng76,313.19516102808427,16,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,pennyfanboy420,250.96817938965503,17,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Mygame12ki,200.78036059818004,18,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,matrix1930,126.2153789845914,19,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,PENNYCODE,120.63722479320667,20,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,iluvmyself1,105.31625896233902,21,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Mallickhh,102.12094495689186,22,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Jonathan51773,89.07043091601155,23,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,StrumDust,82.03275034983585,24,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Yogeshrinivas,35.27816595,25,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Pablemetax,20.0,26,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Goaltoget1000,18.51168834659337,27,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,anitamaxwynn22,18.41689350200047,28,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Dread21,16.130517271579503,29,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,tommybye76,13.766564603041068,30,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Valol23,2.247285633256,31,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Locksterjohnny,1.8745586440658,32,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,maybeacy,0.3452988567959001,33,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Doshino,0.14227948745820002,34,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Sksarvesh961,0.1076720636451315,35,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,HighHolt,0.01810582581552,36,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,supermario887,0.0068004353764,37,2025-03-01,2025-03-19 12:00:00
pennygambl3r,penny,Apfel286186,5.00677992E-4,38,2025-03-01,2025-03-19 12:00:00
