affiliate_name,campaign_code,user_name,wagered,rank,start_date_utc,end_date_utc
pennygambl3r,penny,B3o,67634.42383686031,1,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,PrincessWin,57265.01903757682,2,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,AppleEater,27026.941251627763,3,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Sicked12,14633.416014411732,4,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,danikunz2,11516.655954556309,5,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,NachoWinz,6441.336464486665,6,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Moon0524,2844.581876588958,7,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Soreloser66,2445.3038403254113,8,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,matrix1930,2279.7339704078113,9,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,PennyGambl,2127.2674472687727,10,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Chengcheng76,1995.1637186314563,11,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,PENNYCODE,1767.1207203692386,12,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,milkshake60,1725.2230274120102,13,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Locksterjohnny,1395.521913253514,14,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,lopld123,1239.4340539766627,15,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Penisgambl3r1,1098.1891760439107,16,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,animalkoks,1036.2177363198991,17,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,MumbaiKingMatt,686.7482237079207,18,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,axella8,665.7386258789481,19,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Zigma2012,659.6834287187199,20,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Sonusonu7668,421.57955146517946,21,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Iluvenjay,317.21032416600525,22,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,pennyfanboy420,272.6572272439298,23,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Ashishgusain84,230.84010075115,24,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Mygame12ki,200.78036059818004,25,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Apfel286186,163.1595405923082,26,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,derf567xd,138.6625393606861,27,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Jonathan51773,136.1524930467752,28,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Unbothered69x,124.98580923041399,29,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,iluvmyself1,105.31625896233903,30,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Mallickhh,102.12276615507585,31,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,orjawmat427,95.75163907269092,32,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,ivysonegg,94.27547626127127,33,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,petbigmid905,82.3003370503099,34,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,StrumDust,82.03275034983585,35,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,budwas405,67.0477588750764,36,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,popsownot,66.17843641303135,37,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,illfewact,59.3331856468394,38,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,anitamaxwynn22,36.996307303666214,39,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Yogeshrinivas,35.27816595,40,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,layryeill,30.113225,41,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Jhonsuckwick,28.109999609999996,42,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,bigpubwax,24.153423999999998,43,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Dread21,21.429411561579503,44,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Pablemetax,20.0,45,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,tommybye76,19.375567063065073,46,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Goaltoget1000,18.70645887178737,47,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Demon00063,5.9042407542119975,48,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Valol23,2.247285633256,49,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,zyxic,1.3516732097845012,50,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,zorodacrazy1,0.4999987048654,51,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,maybeacy,0.3452988567959001,52,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Doshino,0.14227948745820002,53,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Sksarvesh961,0.1076720636451315,54,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,Eclimics,0.029999999952,55,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,HighHolt,0.01810582581552,56,2025-03-01,2025-03-31 00:00:00
pennygambl3r,penny,supermario887,0.0068004353764,57,2025-03-01,2025-03-31 00:00:00
